Ticker,Lloyd's Algorithm,Frank-wolfe Algorithm,Trace Maximization
CC,0.0,0.0,0.0
CCEP,0.0,0.0,0.0
CCJ,0.0,0.0,0.0
CCK,0.0,0.0,0.0
CCL,0.0,0.0,0.0
CCLDO,0.0,0.0,0.0
CCLDP,0.0,0.0,0.0
CCLP,0.0,0.0,0.0
CCU,0.0,0.0,0.0
CDRE,0.0,0.0,0.0
CDW,0.0,0.0,0.0
CE,0.0,0.0,0.0
CEG,0.0,0.0,0.0
CEIX,0.0,0.0,0.0
CEPU,0.0,0.0,0.0
CF,0.0,0.0,0.0
CGAU,0.0,0.0,0.0
CHD,0.0,0.0,0.0
CHE,0.0,0.0,0.0
CHRD,0.0,0.0,0.0
CHT,0.0226792387238967,0.0088094629587647,0.0226792387238967
CHX,0.0,0.0,0.0
CIVI,0.0,0.0,0.0
CL,0.0,0.0,0.0
CLAR,0.0,0.0,0.0
CLB,0.0,0.0,0.0
CLF,0.0,0.0,0.0
CLWT,0.0,0.0,0.0
CLX,0.0,0.0,0.0
CMC,0.0,0.0,0.0
CMCO,0.0,0.0,0.0
CMI,0.0,0.0,0.0
CMP,0.0,0.0,0.0
CMRE,0.0,0.0,0.0
CMRE-PB,0.0423913930522173,0.0389789966285359,0.0423913930522173
CMRE-PC,0.0,0.0,0.0
CMRE-PD,0.0,0.0,0.0
CMRE-PE,0.0,0.0394782442179992,0.0
CMS,0.0,0.0,0.0
CMS-PB,0.0,0.0,0.0
CMS-PC,0.0,0.0,0.0
CMTL,0.0,0.0,0.0
CNHI,0.0,0.0,0.0
CNI,0.0,0.0,0.0
CNK,0.0,0.0,0.0
CNMD,0.0,0.0,0.0
CNP,0.0,0.0,0.0
CNQ,0.0,0.0,0.0
CNXN,0.0,0.0,0.0
CODI,0.0,0.0,0.0
CODI-PA,0.0,0.0,0.0
CODI-PB,0.0,0.0,0.0
CODI-PC,0.0,0.0,0.0
COHU,0.0,0.0,0.0
COKE,0.0,0.0138365072469271,0.0
COLD,0.0,0.0,0.0
COO,0.0,0.0,0.0
COP,0.0,0.0,0.0
COR,0.0786447308742968,0.0736076466650422,0.0786447308742968
COST,0.0,0.0,0.0
COTY,0.0,0.0,0.0
CP,0.0,0.0,0.0
CPA,0.0,0.0,0.0
CPAC,0.0,0.0,0.0
CPB,0.0,0.0,0.0
CPK,0.0,0.0,0.0
CPLP,0.0,0.0,0.0
CPSI,0.0,0.0,0.0
CQP,0.0,0.0,0.0
CRC,0.0,0.0,0.0
CRESY,0.0,0.0,0.0
CRH,0.0,0.0,0.0
CRI,0.0,0.0,0.0
CRK,0.0,0.0,0.0
CRS,0.0,0.0,0.0
CSAN,0.0,0.0,0.0
CSCO,0.0,0.0,0.0
CSL,0.0,0.0,0.0
CSPI,0.0,0.0002969574310567,0.0
CSTE,0.0,0.0,0.0
CSV,0.0,0.0,0.0
CSWI,0.0,0.0,0.0
CSX,0.0,0.0,0.0
CTA-PA,0.0,0.0,0.0
CTA-PB,0.0,0.0,0.0
CTAS,0.0,0.0,0.0
CTRA,0.0,0.0,0.0
CTRN,0.0,0.0,0.0
CTS,0.0,0.0,0.0
CTVA,0.0,0.0,0.0
CUK,0.0,0.0,0.0
CULP,0.0,0.0,0.0
CVE,0.0,0.0,0.0
CVGW,0.0,0.0,0.0
CVI,0.0,0.0,0.0
CVLG,0.0,0.0,0.0
CVS,0.0,0.0,0.0
CVX,0.0,0.0,0.0
CW,0.0,0.0,0.0
CWCO,0.0,0.0,0.0
CWEN,0.0,0.0,0.0
CWEN-A,0.0,0.0,0.0
CWH,0.0,0.0,0.0
CWT,0.0,0.0,0.0
CXDO,0.0,0.0,0.0
CXT,0.0,0.0,0.0
CYD,0.0,0.0,0.0
D,0.0,0.0,0.0
DAC,0.0,0.0,0.0
DAKT,0.0,0.0,0.0
DAL,0.0,0.0,0.0
DAN,0.0,0.0,0.0
DBI,0.0,0.0,0.0
DCI,0.0,0.0,0.0
DD,0.0,0.0,0.0
DDS,0.0,0.0,0.0
DE,0.0,0.0,0.0
DELL,0.0,0.0,0.0
DEO,0.0,0.0,0.0
DG,0.0,0.0,0.0
DGX,0.0,0.0,0.0
DHR,0.0,0.0,0.0
DHT,0.0,0.0,0.0
DINO,0.0,0.0,0.0
DK,0.0,0.0,0.0
DKL,0.0,0.0,0.0
DKS,0.0,0.0,0.0
DLB,0.0,0.0,0.0
DLNG-PA,0.0,0.0,0.0
DLNG-PB,0.0,0.0,0.0
DLX,0.0,0.0,0.0
DNUT,0.0,0.0,0.0
DOLE,0.0,0.0,0.0
DOOO,0.0,0.0,0.0
DOV,0.0,0.0,0.0
DOW,0.0,0.0,0.0
DPZ,0.0,0.0,0.0
DRD,0.0,0.0,0.0
DRI,0.0,0.0,0.0
DSX,0.0,0.0,0.0
DSX-PB,0.0,0.0,0.0
DTE,0.0,0.0,0.0
DUK,0.0,0.0,0.0
DUK-PA,0.0,0.0,0.0
DVN,0.0,0.0,0.0
E,0.0,0.0,0.0
EAF,0.0,0.0,0.0
EAT,0.0,0.0,0.0
EBF,0.0,0.0,0.0
EBR,0.0,0.0,0.0
EBR-B,0.0,0.0,0.0
EC,0.0,0.0,0.0
ECL,0.0,0.0,0.0
ECVT,0.0,0.0,0.0
ED,0.0,0.0,0.0
EDUC,0.0,0.0,0.0
EE,0.0,0.0,0.0
EFXT,0.0,0.0,0.0
EGLE,0.0,0.0,0.0
EGP,0.0,0.0,0.0
EGY,0.0,0.0,0.0
EIX,0.0,0.0,0.0
EL,0.0,0.0,0.0
ELP,0.0,0.0,0.0
ELTK,0.0,0.0,0.0
EMBC,0.0,0.0,0.0
EME,0.0,0.0,0.0
EML,0.0,0.0,0.0
EMN,0.0,0.0,0.0
EMR,0.0,0.0,0.0
ENB,0.0,0.0,0.0
ENIC,0.0,0.0,0.0
ENLC,0.0,0.0,0.0
ENR,0.0,0.0,0.0
ENS,0.0,0.0,0.0
ENTG,0.0,0.0,0.0
EOG,0.0,0.0,0.0
EPAC,0.0,0.0,0.0
EPC,0.0,0.0,0.0
EPD,0.0,0.0,0.0
EPRT,0.0,0.0,0.0
EQNR,0.0,0.0,0.0
ERIC,0.0,0.0,0.0
ES,0.0,0.0,0.0
ESCA,0.0,0.0,0.0
ESE,0.0,0.0,0.0
ESEA,0.0,0.0,0.0
ESI,0.0,0.0,0.0
ESLT,0.0,0.0,0.0
ESS,0.0,0.0,0.0
ET,0.0,0.0,0.0
ETD,0.0,0.0,0.0
ETI-P,0.0,0.0,0.0
ETN,0.0,0.0,0.0
ETR,0.0,0.0,0.0
ETRN,0.0,0.0,0.0
EURN,0.0,0.0,0.0
